RSRP,UL_SNR,DL_BLER,UL_BLER,DL_MCS,UL_MCS,TX_Bytes,RX_Bytes
-73.0,19.48,1e-05,0.0865019999999999,7.0,17.0,443817.0,4837.0
-73.0,22.62,1.0000000000000004e-05,0.0873595,7.0,17.0,436519.0,6388.0
-73.0,23.64,0.0,0.0801819999999999,7.0,17.0,443817.0,6388.0
-73.0,23.06,0.0,0.088622,7.0,17.0,442393.0,9946.0
-73.0,19.555,0.0,0.0938660999999999,7.0,17.0,440168.0,4837.0
-73.0,18.79,0.0,0.0865823999999999,7.0,17.0,432870.0,6388.0
-73.0,23.77,0.0,0.099815,7.0,17.0,452412.0,7847.0
-73.0,22.665,0.0,0.0977617,7.0,17.0,429221.0,3332.0
-73.0,18.84,0.0,0.0903039999999999,7.0,17.0,443817.0,7893.0
-73.0,19.45,0.0,0.0968279999999999,7.0,17.0,436519.0,4837.0
-73.0,20.06,0.0,0.0972842,7.0,17.0,445114.0,7893.0
-73.0,17.625,0.0,0.1041934999999999,7.0,17.0,418274.0,4837.0
-73.0,21.715,0.0597941999999999,0.0716224,7.0,9.0,443817.0,4772.0
-73.0,20.745,0.0558853999999999,0.06453,7.0,9.0,437816.0,4788.0
-73.0,20.72,0.0501329999999999,0.0581991999999999,7.0,9.0,447466.0,3330.0
-73.0,20.69,0.0449734999999999,0.0527919999999999,7.0,9.0,436519.0,6292.0
-73.0,20.915,0.0403888999999999,0.0476152999999999,7.0,9.89,443817.0,8405.0
-73.0,24.195,0.036237,0.042528,7.0,10.96,438744.0,4661.0
-73.0,19.93,0.0325427999999999,0.0381848,7.0,11.98,443817.0,4778.0
-73.0,20.41,0.0292216,0.0348233999999999,7.0,12.86,429221.0,6576.0
-73.0,19.28,0.0262416,0.0314431,7.0,13.83,448763.0,3822.0
-73.0,21.09,0.023571,0.028704,7.0,14.7,436519.0,6541.0
-73.0,19.225,0.0211699999999999,0.0256393999999999,7.0,15.77,440168.0,4883.0
-73.0,19.11,0.0190125999999999,0.0231249999999999,7.0,16.75,440168.0,6342.0
-73.0,19.875,0.0170692,0.028855,7.0,17.82,441465.0,6342.0
-73.0,18.92,0.0153337999999999,0.0557103999999999,7.0,18.0,443817.0,6342.0
-73.0,19.135,0.0137561,0.0801908,7.0,18.0,437447.0,6388.0
-73.0,19.66,0.0123387999999999,0.0918158,7.0,18.0,445114.0,19582.0
-73.0,21.005,0.0110614999999999,0.1335925999999999,7.0,18.0,443817.0,21022.0
-73.0,18.915,0.009933,0.148345,7.0,18.0,436519.0,16206.0
-73.0,19.455,0.0089109999999999,0.1669308,7.0,17.13,436519.0,4791.0
-73.0,19.46,0.007996,0.1562337,7.0,16.21,448763.0,6388.0
-73.0,20.37,0.0071839999999999,0.1410724,7.0,16.0,432870.0,7893.0
-73.0,19.82,0.0064545,0.1260058,7.0,16.0,440168.0,3366.0
-73.0,19.81,0.005791,0.1137739999999999,7.0,16.0,436519.0,6342.0
-73.0,20.46,0.0051975999999999,0.1016169,7.0,16.0,442393.0,6388.0
-73.0,19.155,0.0046727999999999,0.0912521999999999,7.0,16.0,440168.0,6388.0
-73.0,22.875,0.0041928,0.0818607999999999,7.0,16.0,440168.0,6388.0
-73.0,19.38,0.0037698,0.0735071999999999,7.0,16.0,445114.0,7893.0
-73.0,20.545,0.0033786,0.0660119999999999,7.0,16.0,432870.0,4883.0
-73.0,19.365,0.0030418,0.0592814,7.0,16.0,443817.0,6388.0
-73.0,23.805,0.0027328,0.0534196,7.0,16.02,432870.0,6342.0
-73.0,19.405,0.002455,0.0486071999999999,7.0,17.0,445114.0,3332.0
-73.0,19.21,0.0022056,0.0649481999999999,7.0,17.0,440168.0,7939.0
-73.0,19.205,0.001978,0.0591808,7.0,17.0,437447.0,4837.0
-73.0,22.49,0.0017754,0.063266,7.0,17.0,445114.0,6342.0
-73.0,19.1,0.0015907999999999,0.0668864999999999,7.0,17.0,443817.0,4791.0
-73.0,19.355,0.0014315,0.0734263999999999,7.0,17.0,436519.0,10586.0
-73.0,19.655,0.0012826,0.0721057,7.0,17.0,440168.0,4837.0
-73.0,23.235,0.0011483999999999,0.0657694,7.0,17.0,445114.0,4883.0
-73.0,20.825,0.001035,0.0680572,7.0,17.0,436519.0,10076.0
-73.0,19.655,0.000933,0.068844,7.0,17.0,443817.0,8525.0
-73.0,19.675,0.000835,0.0719004999999999,7.0,17.0,430069.0,3370.0
-73.0,18.89,0.0007484,0.075968,7.0,17.0,452492.0,8015.0
-73.0,19.585,0.0006722,0.0805094,7.0,17.0,432870.0,4837.0
-73.0,22.58,0.0006057999999999,0.0743225,7.0,17.0,443817.0,7893.0
-73.0,19.73,0.0005445999999999,0.0779036,7.0,17.0,437816.0,8441.0
-73.0,23.91,0.0004894999999999,0.0832147,7.0,17.0,443817.0,4837.0
-73.0,19.27,0.0004385,0.0772912,7.0,17.0,436519.0,6342.0
-73.0,19.455,0.000394,0.0784826,7.0,17.0,440168.0,8487.0
-73.0,19.54,0.0003528,0.0793435999999999,7.0,17.0,445114.0,12937.0
-73.0,19.39,0.0003189999999999,0.0783779,7.0,17.0,441096.0,6380.0
-73.0,20.41,0.0002880999999999,0.0788872,7.0,17.0,436519.0,6388.0
-73.0,20.555,0.0052461,0.0832992,7.0,17.0,325113.0,1689.0
-73.22,23.235,0.0105895999999999,0.0961882,7.0,17.0,432870.0,6296.0
-74.0,19.9,0.010592,0.0971286999999999,7.0,17.0,436519.0,8487.0
-74.0,18.945,0.0095137999999999,0.1109467,7.0,17.0,443817.0,6342.0
-74.0,19.18,0.0085385,0.1090626,7.0,17.0,437816.0,6342.0
-74.3,19.39,0.0076638999999999,0.10656,7.0,17.0,447466.0,6434.0
-75.0,19.075,0.0068863,0.1037183999999999,7.0,17.0,429221.0,6342.0
-75.0,19.655,0.0061843,0.1108726,7.0,17.0,441016.0,4837.0
-75.0,19.22,0.005552,0.1013939999999999,7.0,17.0,441545.0,7847.0
-75.0,22.945,0.004985,0.1049344999999999,7.0,17.0,440168.0,4875.0
-74.4,20.555,0.0044803999999999,0.1051315999999999,7.0,17.0,440168.0,12267.0
-74.0,20.605,0.0040224,0.0955058999999999,7.0,17.0,434167.0,3408.0
-74.0,19.285,0.0036141,0.095099,7.0,17.0,443817.0,7847.0
-74.0,22.6,0.0032412,0.1033207,7.0,17.0,436519.0,6342.0
-74.0,19.235,0.0029079999999999,0.10208,7.0,17.0,440168.0,3332.0
-74.0,19.165,0.0026164,0.0915946,7.0,17.0,445114.0,7931.0
-74.0,19.86,0.0023459999999999,0.0821899999999999,7.0,17.0,441096.0,5431.0
-74.0,20.435,0.0021061,0.0744956,7.0,17.0,436519.0,7893.0
