RSRP,UL_SNR,DL_BLER,UL_BLER,DL_MCS,UL_MCS,TX_Bytes,RX_Bytes
-96.0,20.445,0.0,0.1081655,7.0,17.0,440168.0,5381.0
-96.0,21.23,0.0,0.1134628999999999,7.0,17.0,435095.0,4215.0
-96.0,20.97,0.0,0.129263,7.0,17.0,443817.0,4389.0
-96.0,20.87,0.0,0.1506728,7.0,16.49,432870.0,4445.0
-96.0,19.465,0.0,0.16684,7.0,15.48,441465.0,4515.0
-96.0,21.57,0.0,0.1594209999999999,7.0,14.46,440168.0,6020.0
-96.0,20.51,0.0,0.1431748,7.0,14.0,432870.0,4953.0
-96.0,19.45,0.0,0.1318078,7.0,14.0,436519.0,5242.0
-96.0,20.12,0.0,0.1238619999999999,7.0,14.0,448763.0,6036.0
-96.0,19.445,0.0,0.1168467,7.0,14.0,429221.0,5510.0
-96.0,19.735,0.0,0.1070990999999999,7.0,14.0,440168.0,6516.0
-96.0,20.495,0.0,0.0972104999999999,7.0,14.0,440168.0,5144.0
-96.0,20.08,0.0,0.0900206999999999,7.0,14.0,438744.0,6082.0
-96.0,19.675,0.0,0.0837731,7.0,14.0,440168.0,6584.0
-96.0,20.435,0.0,0.0752357,7.0,14.0,432870.0,4897.0
-96.0,19.27,0.0,0.0705126,7.0,14.0,445114.0,5491.0
-96.0,19.895,0.0,0.065931,7.0,14.0,440168.0,5808.0
-96.0,20.335,0.0,0.0591475999999999,7.0,14.0,436519.0,4622.0
-96.0,20.405,0.0,0.0531765,7.0,14.0,440168.0,5816.0
-96.0,18.82,0.0,0.0477611999999999,7.0,14.61,437816.0,5377.0
-96.0,20.825,0.0,0.0429404,7.0,15.62,432870.0,5343.0
-96.0,21.2,0.0,0.0526518999999999,7.0,16.0,436519.0,5503.0
-96.0,20.545,0.0,0.0602785,7.0,16.0,440168.0,4572.0
-96.0,19.915,0.0,0.0726333999999999,7.0,16.0,434167.0,4727.0
-96.0,20.195,0.0,0.0907112,7.0,16.0,437447.0,4348.0
-96.0,19.675,0.0,0.1018009999999999,7.0,16.0,440168.0,5622.0
-96.0,19.335,0.0,0.1093432999999999,7.0,16.0,434167.0,4180.0
-96.0,20.66,0.0,0.131058,7.0,16.0,440168.0,4522.0
-96.0,20.87,0.0,0.14977,7.0,15.25,440168.0,5410.0
-96.0,19.025,0.0,0.1456241,7.0,15.0,429221.0,4501.0
-96.0,20.02,0.0,0.1363843999999999,7.0,15.0,445114.0,5255.0
-96.0,19.895,0.0,0.133852,7.0,15.0,440168.0,5189.0
-96.0,21.12,0.0,0.1227048,7.0,15.0,436519.0,3402.0
-96.0,20.25,0.0,0.115134,7.0,15.0,443817.0,6240.0
-96.0,20.535,0.0,0.1093941999999999,7.0,15.0,435095.0,4735.0
-96.0,21.12,0.0,0.1049239999999999,7.0,15.0,443817.0,3541.0
-96.0,19.71,0.0,0.100316,7.0,15.0,432870.0,3956.0
-96.0,20.475,0.0,0.096088,7.0,15.0,441465.0,5333.0
-96.0,21.025,0.0,0.092282,7.0,15.0,440168.0,3809.0
-96.0,17.66,0.0,0.1001624,7.0,15.0,432870.0,5859.0
-96.0,19.605,0.0,0.1157903999999999,7.0,15.0,436519.0,3293.0
-96.0,20.685,0.0,0.1319304,7.0,15.0,445114.0,5494.0
-96.0,22.11,0.0,0.1293499999999999,7.0,15.0,432870.0,4513.0
-96.0,22.39,0.0,0.1215219999999999,7.0,15.0,440168.0,5937.0
-96.0,21.35,0.0,0.1091511999999999,7.0,15.0,440168.0,5584.0
-96.0,21.64,0.0,0.0993732,7.0,15.0,434167.0,3621.0
-111.93979166333092,8.548092925411334,0.0018719665783661981,0.10582584459206663,0.0,8.0,440863.0,7820.0
-111.88999323885291,7.123761472763212,0.00038762193793373447,0.09816150602294019,0.0,7.0,425443.0,3622.0
-112.05963417839861,6.907283200574123,0.0014537249951426055,0.09299972377096413,0.0,7.0,423722.0,5363.0
-111.21260345256047,8.097494752367645,0.0006506524945463641,0.09084907011569857,0.0,7.0,409827.0,4278.0
-110.82485959259888,7.964346010344962,0.002322832325977232,0.09219872464729681,0.0,7.0,394666.0,4632.0
-111.0866111538172,7.172205619737192,0.0007586657246265541,0.09361594632019793,0.0,8.0,396660.0,4833.0
-110.61675601564046,6.701102102323847,0.0003685271362231497,0.0940683174780839,0.0,7.0,383927.0,4054.0
-110.79082264715888,7.666803573024421,0.0011277627101158802,0.1027997601323698,0.0,7.0,382170.0,5134.0
-111.34567682414395,7.699985483553271,0.0010924792850126313,0.10220539758152306,0.0,7.0,369377.0,3589.0
-110.44684956177306,8.190740740296292,0.0013013509964768357,0.09720912480548943,0.0,7.0,360888.0,3578.0
-110.51803521004466,7.748952304940672,0.0010987947026781806,0.091981231693519,0.0,8.0,364479.0,7538.0
-110.86822188933068,7.430609920578206,0.0015561374757466885,0.10318506172572346,0.0,7.0,348879.0,3610.0
-111.17462648406718,7.941766420888629,0.0007895472670497723,0.10469800162295208,0.0,7.0,346521.0,5712.0
-110.69176069827108,7.806273204109736,0.0016313718573968895,0.09464658813556215,0.0,7.0,348181.0,4643.0
-110.833334909121,7.346493720364684,0.0006282476276752957,0.09027512337224698,0.0,8.0,333796.0,4579.0
-110.93495269095713,6.1053233843818,0.0011837573495668183,0.10013716696015323,0.0,7.0,331959.0,3476.0
-110.6517128514237,7.530091413119636,0.0015444630739264776,0.10688056262234906,0.0,7.0,330229.0,4056.0
-110.89012654839054,8.679622411660143,0.0018827164897265844,0.1049127533488724,0.0,7.0,324152.0,3343.0
-110.89332351136783,5.222818543614808,0.0006876371019222347,0.10992919368989754,0.0,7.0,327050.0,3635.0
-110.70196393955209,7.658317198268733,0.0013668215023774346,0.11522453700740026,0.0,7.0,312417.0,4537.0
-110.7579090061203,8.06770788901812,0.0012088995936105436,0.11234885773883206,0.0,7.0,311793.0,3190.0
-111.12021408768729,7.26407508711916,0.0016463752353671273,0.11164889651737259,0.0,7.0,313562.0,4140.0
-111.3764174190204,7.110101696793937,0.0007439129370530187,0.11716569492745449,0.0,7.0,298755.0,4872.0
-111.0479074683718,7.716694074516688,0.0006011936474724384,0.11511331429537622,0.0,7.0,307860.0,3275.0
-111.01755283415699,7.914182927034909,0.0004177245980846704,0.1069682102239222,0.0,7.0,297809.0,4247.0
-110.9977385050319,11.734106153700749,0.002413567815803831,0.10273649173717192,0.0,7.0,293624.0,3349.0
-111.49869920233776,9.871265043474525,0.0029782817146031693,0.09496926934238056,0.0,7.0,292842.0,3733.0
-110.99189296740033,8.79537600699393,0.002007604965453937,0.09027648993197773,0.0,7.0,284890.0,2894.0
-112.08459289086937,7.74316065998194,0.00040608873428422607,0.08542239023813077,0.0,7.0,285098.0,2934.0
-111.71678490668455,7.793136802502639,0.0012665993174323642,0.08064819918550753,0.0,7.0,283645.0,3031.0
-112.03319656776782,7.617104235756402,0.0022891792828657865,0.07694343117984455,0.0,7.0,278408.0,3574.0
-111.91981426299036,6.9822021516291635,0.0007338094034432606,0.07949247253290952,0.0,7.0,273826.0,3613.0
-112.00434204911342,8.365148089999083,0.0013788001245164073,0.07893844140167021,0.0,7.0,280551.0,3206.0
-111.81706717262851,5.691282993445902,0.0006306874702250699,0.07840342055002757,0.0,7.0,267908.0,2510.0
-112.00595127624777,6.228391630817333,0.001571283019393603,0.08312178890139331,0.0,8.0,272020.0,4748.0
-111.85765396180145,7.308016337346855,0.00044971866815096006,0.09343059159448434,0.0,8.0,265773.0,2989.0
-111.78286348972159,6.734619124564963,0.0008225138507410394,0.09566372276728842,0.0,7.0,260287.0,2972.0
-112.04595779812364,6.2742238653986915,0.0007667692971379796,0.0877211533511493,0.0,7.0,262204.0,3709.0
-111.62363064647617,5.922667789932916,0.0003732256065295995,0.09457810490281836,0.0,7.0,257631.0,3580.0
-112.10617505745337,8.531940150592025,0.00029388588965792754,0.10287949017709398,0.0,7.0,258174.0,3141.0
-111.84571866878274,7.465278181163483,0.0006061533250547641,0.10072767695750796,0.0,8.0,255094.0,3770.0
-112.16773645843756,6.8063691168694795,0.001611058842539553,0.09817969438022654,0.0,7.0,248626.0,2876.0
-112.11207432896845,6.386816497507019,0.002381206867611783,0.0985395906800432,0.0,7.0,244837.0,3008.0
-112.06807235769703,6.752909770048871,0.0023978834245617048,0.09737102161840056,0.0,7.0,253293.0,3603.0
-111.40891204321771,6.8879364798224785,0.0004955982351920478,0.10272570461223812,0.0,8.0,242166.0,2736.0
-111.62161350431853,5.905588892900464,0.0010305323491121266,0.11042535733950753,0.0,7.0,242117.0,3486.0
-111.86043731925172,6.548598193540175,0.0012221520223568455,0.12004231983760218,0.0,8.0,246797.0,9297.0
-111.88560530823914,7.020670430547612,0.0018867698455270433,0.11682738211530237,0.0,8.0,240036.0,7849.0
-111.60151367403952,7.407914340674629,0.0019172163308646122,0.11410975451825235,0.0,7.0,238037.0,3058.0
-110.67979061609223,8.818032589211692,0.0005889689112859286,0.10969892047464928,0.0,8.0,232158.0,3491.0
-110.53081029449682,8.552655766947712,0.001927196157212929,0.10043917399125589,0.0,7.0,238713.0,3075.0
-110.95152701308159,7.638489199738047,0.0011908670205879694,0.09955812725499258,0.0,7.0,228880.0,3228.0
-111.0092798417294,7.866414156223587,0.002190013650812827,0.09805022290372757,0.0,7.0,232282.0,3042.0
-95.81720430107526,20.03,0.0,0.0852617999999999,7.0,15.0,437816.0,5655.0
-96.0,20.26,0.0,0.0876591999999999,7.0,15.0,443817.0,3806.0
-96.0,19.715,0.0,0.0841498,7.0,15.0,436519.0,5536.0
-96.0,20.69,0.0,0.0818971999999999,7.0,15.0,432870.0,6376.0
-96.0,21.08,0.0,0.0785766,7.0,15.0,452412.0,4806.0
-96.0,20.575,0.00811,0.0712941,7.0,15.0,410976.0,4147.0
-96.0,21.22,0.0077778999999999,0.0700233999999999,7.0,15.0,433798.0,5623.0
-96.0,22.15,0.0069861,0.0677179999999999,7.0,15.0,443737.0,4582.0
-96.0,20.935,0.0062795999999999,0.0635715999999999,7.0,15.0,434247.0,5403.0
-96.0,21.705,0.0056386,0.0680884,7.0,15.0,440168.0,4421.0
-96.0,20.38,0.0050709,0.0679875,7.0,15.0,440168.0,4060.0
-96.0,21.325,0.0045547999999999,0.0741477,7.0,15.0,434167.0,4870.0
-96.0,21.285,0.0040907,0.0826404,7.0,15.0,436519.0,3665.0
-96.0,20.06,0.0036772,0.0855419999999999,7.0,15.0,443817.0,5306.0
-96.0,20.055,0.0033009999999999,0.0902411999999999,7.0,15.0,429221.0,4834.0
-96.0,19.4,0.0029694999999999,0.0931221,7.0,15.0,441465.0,5551.0
-96.0,22.055,0.0026646999999999,0.0859699999999999,7.0,15.0,443817.0,3160.0
-96.0,20.755,0.0023924999999999,0.0880666,7.0,15.0,430149.0,4038.0
-96.0,20.555,0.0021497,0.0986575999999999,7.0,15.0,440088.0,4914.0
-96.0,21.0,0.0019277,0.1083876999999999,7.0,15.0,441545.0,3609.0
-96.0,19.565,0.0032685318766287,0.2173538459780694,7.0,15.0,242803.0,2745.0
-96.0,18.94,0.0029380951860428,0.21414286479606,7.0,15.0,246897.0,2153.0
-96.0,20.145,0.0026367037296749,0.2036106244704808,7.0,15.0,247624.0,2584.0
-96.0,20.415,0.0023769940704646,0.1996196976247252,7.0,15.0,240756.0,1984.0
-96.0,19.9,0.0021402942721282,0.2030309190508589,7.0,15.0,246897.0,2382.0
-96.0,20.755,0.00192320943716,0.2004186760245461,7.0,15.0,246897.0,2372.0
-96.0,20.665,0.0017276256197299,0.1906310914979067,7.0,15.0,243531.0,2163.0
-96.0,18.68,0.0015495821060808,0.1763858815763361,7.0,15.0,246897.0,2560.0
-96.0,20.53,0.0013926623991358,0.1698949255440444,7.0,15.0,246897.0,4544.0
